Date,Open,High,Low,Close,Adj Close,Volume
2021-07-19,354.049988,355.179993,352.040009,354.670013,352.710419,64404600
2021-07-20,355.630005,360.279999,353.799988,358.790009,356.807648,42183700
2021-07-21,358.350006,361.559998,358.119995,361.559998,359.562347,30259900
2021-07-22,361.769989,363.959991,361.769989,363.950012,361.939117,30252200
2021-07-23,365.309998,368.489990,363.920013,368.200012,366.165649,31960800
2021-07-26,367.489990,368.890015,366.600006,368.489990,366.454071,28438100
2021-07-27,368.220001,368.220001,360.160004,364.429993,362.416473,57933100
2021-07-28,365.600006,367.450012,363.239990,365.829987,363.808746,42066200
2021-07-29,365.250000,367.679993,365.250000,366.480011,364.455200,25672500
2021-07-30,362.440002,365.170013,362.410004,364.570007,362.555725,36484600
2021-08-02,366.279999,366.880005,363.869995,364.600006,362.585541,27334100
2021-08-03,365.279999,366.929993,362.000000,366.809998,364.783356,35558500
2021-08-04,366.769989,368.320007,365.630005,367.339996,365.310425,29602200
2021-08-05,368.179993,369.910004,367.450012,369.670013,367.627533,21443900
2021-08-06,368.369995,369.369995,366.910004,368.049988,366.016479,33332100
2021-08-09,368.519989,369.269989,367.390015,368.730011,366.692749,25960200
2021-08-10,369.260010,369.559998,365.619995,366.839996,364.813202,35130800
2021-08-11,368.140015,368.649994,364.839996,366.209991,364.186646,34249800
2021-08-12,365.690002,367.899994,364.299988,367.529999,365.499359,25969200
2021-08-13,367.890015,369.160004,367.380005,368.820007,366.782257,19336200
2021-08-16,367.670013,369.019989,363.700012,368.980011,366.941376,34856900
2021-08-17,366.149994,367.149994,363.230011,365.730011,363.709320,44793900
2021-08-18,365.179993,366.619995,361.869995,362.209991,360.208771,38541900
2021-08-19,360.220001,365.679993,359.959991,363.959991,361.949066,48499400
2021-08-20,365.059998,368.140015,364.739990,367.730011,365.698242,39486000
2021-08-23,368.799988,373.940002,368.790009,373.230011,371.167877,34034700
2021-08-24,373.839996,374.989990,373.359985,374.369995,372.301575,21732900
2021-08-25,374.630005,375.390015,373.859985,374.799988,372.729156,20441900
2021-08-26,373.920013,374.619995,371.970001,372.420013,370.362335,29133300
2021-08-27,373.070007,376.559998,372.570007,376.040009,373.962341,27104700
2021-08-30,376.850006,380.760010,376.829987,380.260010,378.159027,27295700
2021-08-31,380.510010,380.579987,378.359985,379.950012,377.850769,29628200
2021-09-01,381.040009,382.709991,380.369995,380.579987,378.477264,28138300
2021-09-02,381.970001,382.309998,379.149994,380.399994,378.298248,25453400
2021-09-03,379.220001,381.980011,379.200012,381.570007,379.461823,24605400
2021-09-07,381.679993,382.779999,380.489990,382.109985,379.998779,23970200
2021-09-08,381.929993,381.929993,378.450012,380.779999,378.676117,32949200
2021-09-09,381.010010,382.149994,379.220001,379.470001,377.373413,29399000
2021-09-10,381.230011,381.970001,376.250000,376.589996,374.509277,40249400
2021-09-13,378.989990,379.429993,374.220001,376.329987,374.250763,48741800
2021-09-14,377.859985,378.609985,374.279999,375.260010,373.186707,41826600
2021-09-15,375.730011,378.410004,373.369995,378.049988,375.961212,34097900
2021-09-16,376.679993,378.899994,374.700012,378.309998,376.219788,35193100
2021-09-17,377.820007,377.869995,372.760010,373.829987,371.764496,60912300
2021-09-20,367.459991,369.250000,360.929993,365.700012,364.082703,76203200
2021-09-21,367.579987,368.809998,364.989990,366.149994,364.530701,41927500
2021-09-22,367.089996,371.070007,365.959991,369.570007,367.935577,46972900
2021-09-23,370.760010,374.040009,370.100006,372.980011,371.330505,44652000
2021-09-24,370.649994,373.760010,370.269989,373.329987,371.678925,36056800
2021-09-27,370.200012,371.250000,367.730011,370.350006,368.712128,43338100
2021-09-28,365.670013,370.299988,359.350006,359.869995,358.278473,97701600
2021-09-29,361.170013,363.369995,358.640015,359.279999,357.691101,58076600
2021-09-30,360.970001,362.679993,357.100006,357.959991,356.376923,61384600
2021-10-01,358.600006,361.250000,354.380005,360.179993,358.587067,56375500
2021-10-04,358.519989,358.859985,350.320007,352.619995,351.060516,76766000
2021-10-05,353.709991,359.690002,353.480011,357.380005,355.799469,47232900
2021-10-06,354.079987,359.950012,353.149994,359.670013,358.079346,56806500
2021-10-07,362.799988,365.690002,362.250000,362.970001,361.364746,39411200
2021-10-08,364.079987,364.320007,360.609985,361.160004,359.562775,41822300
2021-10-11,359.579987,363.200012,358.299988,358.390015,356.805023,34847200
2021-10-12,359.880005,360.329987,356.480011,357.140015,355.560547,43905100
2021-10-13,359.510010,360.690002,357.429993,360.000000,358.407898,40120800
2021-10-14,363.690002,366.850006,363.010010,366.630005,365.008545,43433900
2021-10-15,367.880005,369.059998,366.820007,368.940002,367.308350,40419900
2021-10-18,367.609985,372.869995,366.989990,372.649994,371.001923,34513500
2021-10-19,373.750000,375.519989,372.700012,375.470001,373.809479,29091000
2021-10-20,375.940002,376.570007,373.459991,374.980011,373.321625,31390300
2021-10-21,374.160004,377.470001,373.850006,377.269989,375.601501,25469300
2021-10-22,375.980011,376.970001,372.390015,374.100006,372.445526,36275800
2021-10-25,375.559998,378.869995,373.559998,377.929993,376.258575,32597800
2021-10-26,380.230011,382.709991,377.910004,379.119995,377.443298,47191300
2021-10-27,379.579987,383.149994,379.309998,380.000000,378.319427,45760500
2021-10-28,381.950012,384.480011,381.160004,384.220001,382.520782,38007000
2021-10-29,381.059998,386.279999,380.700012,386.109985,384.402374,37310100
2021-11-01,386.559998,387.559998,384.420013,387.429993,385.716553,30765300
2021-11-02,386.799988,389.540009,386.750000,389.049988,387.329407,25135300
2021-11-03,389.549988,393.609985,388.480011,393.179993,391.441132,33748900
2021-11-04,394.480011,399.200012,393.920013,398.220001,396.458862,40265300
2021-11-05,400.040009,400.989990,397.160004,398.600006,396.837189,43383800
2021-11-08,398.570007,399.619995,397.399994,398.059998,396.299591,29256300
2021-11-09,399.160004,399.570007,393.920013,395.320007,393.571686,50490700
2021-11-10,392.470001,395.359985,387.529999,389.510010,387.787384,54937400
2021-11-11,392.570007,392.750000,390.239990,390.589996,388.862610,32243000
2021-11-12,391.769989,395.250000,390.130005,394.700012,392.954437,34730600
2021-11-15,395.910004,396.239990,392.100006,394.609985,392.864838,33716900
2021-11-16,393.859985,397.929993,393.660004,397.420013,395.662384,27872900
2021-11-17,397.750000,399.720001,396.640015,397.630005,395.871490,28703300
2021-11-18,399.730011,402.269989,397.450012,401.750000,399.973236,45721500
2021-11-19,403.429993,405.299988,402.579987,403.989990,402.203339,45191700
2021-11-22,405.570007,408.709991,399.190002,399.299988,397.534088,61715400
2021-11-23,398.109985,400.230011,392.920013,397.480011,395.722137,70098700
2021-11-24,394.929993,399.049988,392.540009,398.760010,396.996460,46954400
2021-11-26,396.109985,397.540009,389.769989,391.200012,389.469910,51533300
2021-11-29,395.890015,400.730011,395.140015,399.690002,397.922363,54447100
2021-11-30,398.779999,401.190002,391.750000,393.820007,392.078339,81332700
2021-12-01,398.279999,400.480011,386.640015,387.119995,385.407959,77766500
2021-12-02,385.799988,391.739990,384.339996,389.910004,388.185608,84416600
2021-12-03,391.309998,392.339996,378.899994,383.130005,381.435608,105349100
2021-12-06,383.630005,387.600006,379.299988,386.200012,384.492035,67588800
2021-12-07,393.029999,398.459991,392.989990,397.829987,396.070557,56005300
2021-12-08,398.170013,399.820007,396.220001,399.609985,397.842712,39204000
2021-12-09,398.350006,400.200012,393.529999,393.730011,391.988739,49973700
2021-12-10,396.619995,398.279999,393.359985,398.010010,396.249817,52545800
2021-12-13,398.000000,398.329987,391.880005,392.260010,390.525208,50166400
2021-12-14,387.299988,390.089996,383.630005,388.200012,386.483185,75199200
2021-12-15,387.940002,397.420013,383.880005,397.049988,395.294006,73858000
2021-12-16,398.040009,398.480011,385.209991,386.839996,385.129181,82591400
2021-12-17,383.329987,389.190002,381.769989,384.910004,383.207733,80492500
2021-12-20,379.570007,381.500000,377.470001,380.690002,379.490448,65336800
2021-12-21,384.049988,389.529999,380.200012,389.209991,387.983582,48899500
2021-12-22,388.910004,394.160004,388.230011,393.950012,392.708679,37042200
2021-12-23,394.309998,398.429993,394.140015,396.920013,395.669342,29595500
2021-12-27,398.250000,403.480011,398.220001,403.480011,402.208649,32820700
2021-12-28,404.399994,404.579987,400.709991,401.609985,400.344543,33113700
2021-12-29,401.750000,403.049988,399.109985,401.549988,400.284729,32248500
2021-12-30,401.329987,403.570007,399.750000,400.350006,399.088531,23850100
2021-12-31,399.660004,401.059998,397.339996,397.850006,396.596375,34752900
